start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.070000,0.240000,05_Ay,i've,1.0,0,0,0
0.240000,0.310000,20_FV,i've,1.0,0,0,0
0.420000,0.590000,06_Eh,heard,1.0,1,0,0
0.680000,0.720000,22_MBP,burkina,1.0,2,0,0
0.980000,1.080000,03_Ee,burkina,1.0,2,0,0
1.200000,1.350000,20_FV,faso,1.0,3,0,0
1.350000,1.490000,07_Aa,faso,1.0,3,0,0
1.630000,1.790000,09_Oh,faso,1.0,3,0,0
1.890000,1.970000,07_Aa,has,1.0,4,0,0
2.190000,2.260000,07_Aa,lovely,1.0,5,0,0
2.260000,2.320000,20_FV,lovely,1.0,5,0,0
2.390000,2.440000,03_Ee,lovely,1.0,5,0,0
2.440000,2.520000,22_MBP,markets,1.0,6,0,0
2.520000,2.580000,07_Aa,markets,1.0,6,0,0
3.620000,3.730000,07_Aa,got,1.0,7,1,1
3.770000,3.810000,06_Eh,any,1.0,8,1,1
3.870000,3.940000,03_Ee,any,1.0,8,1,1
3.940000,4.040000,22_MBP,plans,1.0,9,1,1
4.090000,4.250000,07_Aa,plans,1.0,9,1,1
